y,x
4,2.25
9,2.250275028
11,2.250550055
1,2.250825083
28,2.25110011
15,2.251375138
10,2.251650165
4,2.251925193
10,2.25220022
7,2.252475248
1,2.252750275
8,2.253025303
4,2.25330033
23,2.253575358
0,2.253850385
5,2.254125413
14,2.25440044
16,2.254675468
14,2.254950495
3,2.255225523
8,2.25550055
14,2.255775578
5,2.256050605
8,2.256325633
37,2.25660066
6,2.256875688
8,2.257150715
6,2.257425743
9,2.25770077
2,2.257975798
0,2.258250825
9,2.258525853
9,2.25880088
3,2.259075908
1,2.259350935
5,2.259625963
11,2.25990099
8,2.260176018
13,2.260451045
2,2.260726073
2,2.2610011
1,2.261276128
5,2.261551155
12,2.261826183
22,2.26210121
6,2.262376238
3,2.262651265
5,2.262926293
8,2.26320132
11,2.263476348
14,2.263751375
4,2.264026403
23,2.26430143
9,2.264576458
0,2.264851485
18,2.265126513
0,2.26540154
14,2.265676568
3,2.265951595
1,2.266226623
17,2.26650165
5,2.266776678
7,2.267051705
18,2.267326733
9,2.26760176
6,2.267876788
9,2.268151815
1,2.268426843
12,2.26870187
1,2.268976898
3,2.269251925
4,2.269526953
8,2.26980198
4,2.270077008
30,2.270352035
11,2.270627063
7,2.27090209
0,2.271177118
2,2.271452145
6,2.271727173
8,2.2720022
5,2.272277228
9,2.272552255
11,2.272827283
7,2.27310231
0,2.273377338
14,2.273652365
14,2.273927393
2,2.27420242
2,2.274477448
16,2.274752475
12,2.275027503
1,2.27530253
4,2.275577558
6,2.275852585
8,2.276127613
3,2.27640264
0,2.276677668
10,2.276952695
24,2.277227723
11,2.27750275
10,2.277777778
6,2.278052805
9,2.278327833
5,2.27860286
39,2.278877888
3,2.279152915
3,2.279427943
12,2.27970297
1,2.279977998
4,2.280253025
8,2.280528053
7,2.28080308
30,2.281078108
4,2.281353135
17,2.281628163
6,2.28190319
28,2.282178218
7,2.282453245
9,2.282728273
4,2.2830033
3,2.283278328
3,2.283553355
12,2.283828383
13,2.28410341
2,2.284378438
7,2.284653465
11,2.284928493
9,2.28520352
6,2.285478548
8,2.285753575
12,2.286028603
16,2.28630363
17,2.286578658
4,2.286853685
16,2.287128713
15,2.28740374
8,2.287678768
12,2.287953795
6,2.288228823
6,2.28850385
7,2.288778878
47,2.289053905
6,2.289328933
3,2.28960396
12,2.289878988
9,2.290154015
1,2.290429043
17,2.29070407
4,2.290979098
30,2.291254125
5,2.291529153
12,2.29180418
1,2.292079208
3,2.292354235
3,2.292629263
7,2.29290429
7,2.293179318
23,2.293454345
2,2.293729373
23,2.2940044
10,2.294279428
6,2.294554455
7,2.294829483
0,2.29510451
9,2.295379538
7,2.295654565
16,2.295929593
6,2.29620462
9,2.296479648
11,2.296754675
8,2.297029703
23,2.29730473
22,2.297579758
6,2.297854785
18,2.298129813
12,2.29840484
3,2.298679868
23,2.298954895
30,2.299229923
4,2.29950495
9,2.299779978
6,2.300055006
10,2.300330033
5,2.300605061
4,2.300880088
1,2.301155116
11,2.301430143
14,2.301705171
20,2.301980198
6,2.302255226
8,2.302530253
2,2.302805281
8,2.303080308
13,2.303355336
32,2.303630363
22,2.303905391
4,2.304180418
10,2.304455446
23,2.304730473
14,2.305005501
6,2.305280528
28,2.305555556
1,2.305830583
5,2.306105611
7,2.306380638
9,2.306655666
14,2.306930693
13,2.307205721
6,2.307480748
3,2.307755776
3,2.308030803
6,2.308305831
19,2.308580858
6,2.308855886
26,2.309130913
6,2.309405941
1,2.309680968
16,2.309955996
17,2.310231023
27,2.310506051
13,2.310781078
25,2.311056106
14,2.311331133
3,2.311606161
13,2.311881188
4,2.312156216
4,2.312431243
12,2.312706271
23,2.312981298
8,2.313256326
22,2.313531353
7,2.313806381
3,2.314081408
6,2.314356436
5,2.314631463
2,2.314906491
5,2.315181518
14,2.315456546
12,2.315731573
3,2.316006601
4,2.316281628
5,2.316556656
11,2.316831683
1,2.317106711
13,2.317381738
2,2.317656766
7,2.317931793
5,2.318206821
14,2.318481848
6,2.318756876
19,2.319031903
5,2.319306931
13,2.319581958
19,2.319856986
12,2.320132013
11,2.320407041
4,2.320682068
11,2.320957096
4,2.321232123
14,2.321507151
9,2.321782178
2,2.322057206
16,2.322332233
25,2.322607261
13,2.322882288
8,2.323157316
5,2.323432343
13,2.323707371
13,2.323982398
16,2.324257426
18,2.324532453
13,2.324807481
6,2.325082508
6,2.325357536
6,2.325632563
26,2.325907591
7,2.326182618
3,2.326457646
18,2.326732673
9,2.327007701
3,2.327282728
6,2.327557756
16,2.327832783
19,2.328107811
7,2.328382838
6,2.328657866
23,2.328932893
16,2.329207921
4,2.329482948
11,2.329757976
19,2.330033003
11,2.330308031
7,2.330583058
8,2.330858086
18,2.331133113
4,2.331408141
6,2.331683168
8,2.331958196
5,2.332233223
13,2.332508251
12,2.332783278
9,2.333058306
8,2.333333333
4,2.333608361
21,2.333883388
8,2.334158416
7,2.334433443
0,2.334708471
11,2.334983498
17,2.335258526
11,2.335533553
29,2.335808581
2,2.336083608
14,2.336358636
17,2.336633663
1,2.336908691
8,2.337183718
24,2.337458746
21,2.337733773
16,2.338008801
12,2.338283828
10,2.338558856
21,2.338833883
2,2.339108911
20,2.339383938
5,2.339658966
24,2.339933993
15,2.340209021
4,2.340484048
6,2.340759076
19,2.341034103
4,2.341309131
17,2.341584158
9,2.341859186
4,2.342134213
10,2.342409241
3,2.342684268
8,2.342959296
1,2.343234323
0,2.343509351
6,2.343784378
21,2.344059406
41,2.344334433
17,2.344609461
4,2.344884488
4,2.345159516
3,2.345434543
3,2.345709571
22,2.345984598
19,2.346259626
5,2.346534653
13,2.346809681
9,2.347084708
6,2.347359736
9,2.347634763
12,2.347909791
6,2.348184818
7,2.348459846
1,2.348734873
0,2.349009901
14,2.349284928
36,2.349559956
10,2.349834983
4,2.350110011
13,2.350385039
8,2.350660066
11,2.350935094
3,2.351210121
20,2.351485149
11,2.351760176
20,2.352035204
5,2.352310231
1,2.352585259
6,2.352860286
3,2.353135314
14,2.353410341
12,2.353685369
6,2.353960396
18,2.354235424
8,2.354510451
7,2.354785479
17,2.355060506
9,2.355335534
25,2.355610561
15,2.355885589
11,2.356160616
3,2.356435644
6,2.356710671
9,2.356985699
37,2.357260726
13,2.357535754
15,2.357810781
5,2.358085809
16,2.358360836
23,2.358635864
7,2.358910891
11,2.359185919
13,2.359460946
5,2.359735974
14,2.360011001
3,2.360286029
22,2.360561056
35,2.360836084
7,2.361111111
19,2.361386139
20,2.361661166
5,2.361936194
25,2.362211221
16,2.362486249
7,2.362761276
9,2.363036304
8,2.363311331
14,2.363586359
1,2.363861386
7,2.364136414
16,2.364411441
1,2.364686469
11,2.364961496
12,2.365236524
11,2.365511551
15,2.365786579
3,2.366061606
5,2.366336634
1,2.366611661
3,2.366886689
6,2.367161716
3,2.367436744
4,2.367711771
21,2.367986799
3,2.368261826
10,2.368536854
7,2.368811881
29,2.369086909
13,2.369361936
12,2.369636964
13,2.369911991
10,2.370187019
4,2.370462046
12,2.370737074
5,2.371012101
11,2.371287129
3,2.371562156
17,2.371837184
5,2.372112211
22,2.372387239
6,2.372662266
3,2.372937294
3,2.373212321
9,2.373487349
9,2.373762376
5,2.374037404
7,2.374312431
4,2.374587459
6,2.374862486
1,2.375137514
8,2.375412541
8,2.375687569
8,2.375962596
3,2.376237624
11,2.376512651
1,2.376787679
9,2.377062706
10,2.377337734
10,2.377612761
8,2.377887789
0,2.378162816
5,2.378437844
8,2.378712871
3,2.378987899
24,2.379262926
18,2.379537954
10,2.379812981
5,2.380088009
8,2.380363036
11,2.380638064
9,2.380913091
14,2.381188119
13,2.381463146
16,2.381738174
14,2.382013201
10,2.382288229
0,2.382563256
19,2.382838284
9,2.383113311
7,2.383388339
5,2.383663366
11,2.383938394
4,2.384213421
16,2.384488449
12,2.384763476
16,2.385038504
5,2.385313531
20,2.385588559
7,2.385863586
14,2.386138614
9,2.386413641
8,2.386688669
9,2.386963696
7,2.387238724
3,2.387513751
3,2.387788779
18,2.388063806
5,2.388338834
13,2.388613861
4,2.388888889
16,2.389163916
4,2.389438944
3,2.389713971
8,2.389988999
1,2.390264026
7,2.390539054
14,2.390814081
7,2.391089109
17,2.391364136
1,2.391639164
2,2.391914191
3,2.392189219
21,2.392464246
7,2.392739274
12,2.393014301
25,2.393289329
13,2.393564356
2,2.393839384
7,2.394114411
4,2.394389439
10,2.394664466
10,2.394939494
4,2.395214521
1,2.395489549
14,2.395764576
18,2.396039604
6,2.396314631
10,2.396589659
8,2.396864686
14,2.397139714
8,2.397414741
24,2.397689769
4,2.397964796
4,2.398239824
15,2.398514851
8,2.398789879
8,2.399064906
10,2.399339934
23,2.399614961
3,2.399889989
13,2.400165017
23,2.400440044
4,2.400715072
6,2.400990099
16,2.401265127
10,2.401540154
11,2.401815182
7,2.402090209
15,2.402365237
9,2.402640264
6,2.402915292
11,2.403190319
28,2.403465347
6,2.403740374
2,2.404015402
15,2.404290429
28,2.404565457
7,2.404840484
3,2.405115512
13,2.405390539
9,2.405665567
10,2.405940594
7,2.406215622
5,2.406490649
7,2.406765677
5,2.407040704
9,2.407315732
11,2.407590759
7,2.407865787
16,2.408140814
17,2.408415842
6,2.408690869
10,2.408965897
3,2.409240924
10,2.409515952
10,2.409790979
3,2.410066007
5,2.410341034
10,2.410616062
2,2.410891089
13,2.411166117
3,2.411441144
17,2.411716172
17,2.411991199
14,2.412266227
9,2.412541254
14,2.412816282
17,2.413091309
16,2.413366337
20,2.413641364
13,2.413916392
37,2.414191419
2,2.414466447
4,2.414741474
14,2.415016502
5,2.415291529
15,2.415566557
11,2.415841584
9,2.416116612
5,2.416391639
8,2.416666667
7,2.416941694
9,2.417216722
1,2.417491749
3,2.417766777
23,2.418041804
5,2.418316832
26,2.418591859
8,2.418866887
10,2.419141914
