BreathRate,BloodRate
0.084,0.167
0.075,0.148
0.086,0.174
0.052,0.114
0.072,0.138
0.088,0.167
0.084,0.155
0.066,0.148
0.065,0.144
0.097,0.21
0.08,0.169
0.088,0.181
0.079,0.179
0.069,0.14
0.078,0.157
0.087,0.19
0.064,0.136
0.098,0.169
0.055,0.118
0.068,0.146
0.092,0.196
0.088,0.164
0.07,0.136
0.061,0.136
0.069,0.156
0.115,0.223
0.078,0.175
0.104,0.224
0.087,0.158
0.064,0.141
0.099,0.2
0.08,0.147
0.051,0.114
0.101,0.216
0.084,0.155
0.069,0.148
0.083,0.161
0.071,0.142
0.094,0.223
0.102,0.223
0.105,0.24
0.095,0.188
0.052,0.121
0.103,0.175
0.094,0.195
0.088,0.172
0.078,0.159
0.107,0.224
0.082,0.152
0.081,0.152
0.107,0.234
0.081,0.153
0.085,0.182
0.096,0.238
0.088,0.184
0.055,0.133
0.11,0.197
