Region,Rent
Auckland,330
Auckland,584
Auckland,265
Auckland,566
Auckland,337
Auckland,451
Auckland,384
Auckland,533
Auckland,424
Auckland,576
Auckland,210
Auckland,594
Auckland,266
Auckland,571
Auckland,380
Auckland,274
Auckland,435
Auckland,201
Auckland,329
Auckland,353
Auckland,222
Auckland,264
Auckland,280
Auckland,594
Auckland,365
Auckland,347
Auckland,337
Auckland,401
Auckland,473
Auckland,559
Auckland,212
Auckland,327
Auckland,199
Auckland,459
Auckland,397
Auckland,575
Auckland,570
Auckland,299
Auckland,265
Auckland,521
Auckland,238
Auckland,334
Auckland,329
Auckland,343
Auckland,466
Auckland,220
Auckland,309
Auckland,326
Auckland,415
Auckland,553
Auckland,412
Auckland,522
Auckland,262
Auckland,299
Auckland,276
Auckland,273
Auckland,347
Auckland,478
Auckland,264
Auckland,276
Auckland,503
Auckland,305
Auckland,266
Auckland,271
Auckland,266
Auckland,598
Auckland,334
Auckland,381
Auckland,382
Auckland,604
Auckland,586
Auckland,464
Auckland,328
Auckland,380
Auckland,375
Auckland,267
Auckland,207
Auckland,336
Auckland,262
Auckland,272
Auckland,194
Auckland,247
Auckland,283
Auckland,386
Auckland,282
Auckland,268
Auckland,425
Auckland,330
Auckland,390
Auckland,273
Auckland,277
Auckland,420
Auckland,534
Auckland,518
Auckland,315
Auckland,224
Auckland,560
Auckland,613
Auckland,550
Auckland,271
Auckland,311
Auckland,497
Auckland,338
Auckland,364
Auckland,262
Auckland,199
Auckland,382
Auckland,454
Auckland,273
Auckland,328
Auckland,204
Auckland,559
Auckland,433
Auckland,496
Auckland,330
Auckland,275
Auckland,400
Auckland,332
Auckland,538
Auckland,451
Auckland,537
Auckland,273
Auckland,205
Auckland,261
Auckland,272
Auckland,201
Auckland,273
Auckland,313
Auckland,449
Auckland,556
Auckland,513
Auckland,376
Auckland,304
Auckland,577
Auckland,335
Auckland,547
Auckland,270
Auckland,400
Auckland,469
Auckland,210
Auckland,263
Auckland,554
Auckland,348
Auckland,254
Auckland,572
Auckland,424
Auckland,532
Auckland,449
Auckland,452
Auckland,379
Auckland,271
Auckland,446
Auckland,403
Auckland,557
Auckland,264
Auckland,327
Auckland,590
Auckland,269
Auckland,431
Auckland,506
Auckland,203
Auckland,440
Auckland,515
Auckland,443
Auckland,509
Auckland,199
Auckland,332
Auckland,250
Auckland,572
Auckland,267
Auckland,317
Auckland,451
Auckland,390
Auckland,357
Auckland,377
Auckland,507
Auckland,430
Auckland,333
Auckland,283
Auckland,331
Auckland,265
